id,nome,siglaUf,siglaPartido,idLegislatura
215044,Vivi Reis,PA,PSOL,56
160569,Waldenor Pereira,BA,PT,56
178952,Walter Alves,RN,MDB,56
160518,Weliton Prado,MG,PROS,56
74043,Wellington Roberto,PB,PL,56
74044,Wilson Santiago,PB,PTB,56
74439,Wolney Queiroz,PE,PDT,56
191945,Zé Augusto Nalin,RJ,DEM,56
178889,Zé Carlos,MA,PT,56
204559,Zé Neto,BA,PT,56
160632,Zé Silva,MG,SOLIDARIEDADE,56
204517,Zé Vitor,MG,PL,56
160592,Zeca Dirceu,PR,PT,56
